"Bucket","Area","ID","ItemType","Title","Priority","Milestone","Status","XBrowser_Current","XBrowser_Task","Suggested_Files","DependsOn","Done_Criteria","Test_Steps","SourceCsv","SourceKind"
"developing","Omnibox","NEXT-V5-061","Interaction","搜索建议：Web suggestions 开关与 provider 抽象","P2","M22","todo","Omnibox 仅本地建议且无 web suggestions","OmniboxUtils 增加 WebSuggestionsProvider 接口；默认使用公开 open suggestions；Settings 增加开关；结果分组显示并限流","src/core/OmniboxUtils.*; ui/qml/BrowserWindow.qml; src/core/AppSettings.*; ui/qml/components/SettingsDialog.qml; tests/TestOmniboxUtils.cpp","","开启开关后输入关键词出现 Web Suggestions 分组且可 Enter 打开搜索","开启 web suggestions->地址栏输入关键字->出现建议->选择一条回车->导航到搜索结果；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Omnibox","NEXT-V5-062","Interaction","Omnibox 动作项：Open in Split/Open in New Workspace","P2","M22","todo","Omnibox 建议缺少动作项","OmniboxUtils 增加 ActionSuggestion（split/openInWorkspace/copyUrl）；UI 支持渲染并执行；可配置显示","src/core/OmniboxUtils.*; ui/qml/BrowserWindow.qml","NEXT-V5-061","下拉列表出现动作项且点击或回车可执行对应动作","输入关键字->选择 Action: Open in Split->回车->进入 split 并打开；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Omnibox","NEXT-V5-064","Interaction","WebSuggestions 单测：解析/限流/排序","P2","M22","todo","TestOmniboxUtils 未覆盖 web suggestions","为 provider 增加 mock；TestOmniboxUtils 覆盖：请求 debounce；返回解析；limit；与本地建议排序","tests/TestOmniboxUtils.cpp; src/core/OmniboxUtils.*","NEXT-V5-061","ctest 覆盖新增用例且通过","cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Omnibox","NEXT-V5-063","Interaction","Omnibox favicon：建议项显示网站图标并缓存","P3","M22","todo","建议项无 favicon 或仅默认图标","增加 FaviconCache：获取并缓存 favicon；Omnibox 渲染 icon；失败回退默认图标","src/core/FaviconCache.* (new); src/core/OmniboxUtils.*; ui/qml/BrowserWindow.qml","","建议列表能显示常见站点 favicon 且二次打开命中缓存","输入访问过的站点域名->建议显示 favicon->重启后仍可快速显示；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Output","NEXT-V5-009","Interaction","查看页面源代码：菜单/右键打开 SourceViewer","P2","M15","todo","当前无 View Source 能力","增加 view-source 命令；通过 ExecuteScript 获取 outerHTML 并打开内部 SourceViewer 页面展示；支持复制与查找","src/engine/webview2/WebView2View.*; ui/qml/BrowserWindow.qml; ui/qml/components/FindBar.qml; ui/qml/components/ContextMenu.qml; ui/qml/components/OverlayHost.qml","","可在新标签看到当前页面 HTML 文本且可复制","打开网页->右键->View Source->出现新标签显示 HTML->Ctrl+F 查找->Ctrl+A 复制；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Output","NEXT-V5-010","Interaction","SourceViewer 细节：语法高亮与大文件性能","P3","M15","todo","SourceViewer 尚无高亮与行号（待实现）","SourceViewer 增加行号与基础高亮（HTML tag/attr）；对大文本使用延迟渲染或分页；支持保存到文件","ui/qml/components/SourceViewer.qml (new); ui/qml/BrowserWindow.qml","NEXT-V5-009","打开大型页面源代码时滚动与搜索仍流畅且可另存为","打开较大网页->View Source->快速滚动与 Ctrl+F->无明显卡顿；点击 Save->生成文件；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Packaging","NEXT-V5-058","Interaction","Installer/分发：生成可运行目录并可选 MSIX/NSIS","P3","M21","todo","package.ps1 已有但缺少 installer 路线与版本化输出","扩展 scripts/package.ps1：输出带版本号目录；新增 scripts/package_msix.ps1 或文档指南；确保 WebView2Loader 与 Qt plugins 齐全","scripts/package.ps1; scripts/package_msix.ps1 (new); docs/BUILDING.md","NEXT-V5-056","dist 目录可在无 Qt 环境机器运行且文档说明清晰","运行 package 脚本->在干净环境运行 dist\\Release\\xbrowser.exe；检查可启动","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Panels/Web","NEXT-V5-023","Interaction","书签面板：树状视图与文件夹管理","P1","M17","todo","BookmarksPanel 为简单列表（无树）","BookmarksPanel 改为 TreeView/嵌套 ListView；支持展开折叠；右键菜单：新建文件夹/重命名/删除/在新标签打开全部","ui/qml/components/BookmarksPanel.qml; ui/qml/components/ContextMenu.qml; ui/qml/components/PopupManager.qml","NEXT-V5-022","文件夹可展开折叠且菜单操作生效不被裁剪","打开书签面板->创建文件夹->展开/折叠->右键重命名->删除；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Panels/Web","NEXT-V5-029","Interaction","历史面板：搜索+分组+右键删除/复制","P1","M17","todo","HistoryPanel 仅支持简单列表与清理能力有限","HistoryPanel 增加搜索框；按天分组；条目右键菜单：Open/Copy URL/Delete；支持多选批量删除","ui/qml/components/HistoryPanel.qml; ui/qml/components/ContextMenu.qml; src/core/HistoryFilterModel.*","NEXT-V5-028","搜索可过滤并可删除单条/多条且 UI 不被裁剪","产生历史记录->打开历史面板->搜索关键字->右键删除一条->刷新页面->该条不再出现；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Permissions","NEXT-V5-019","Interaction","权限中心增强：按类型过滤+搜索+一键重置","P2","M16","todo","PermissionsCenter 仅列表与重置能力有限","PermissionsCenter 增加类型过滤（通知/摄像头/麦克风等）；搜索；一键重置全部站点；显示统计","ui/qml/components/PermissionsCenter.qml; src/core/SitePermissionsStore.*","","可按类型筛选且一键重置后列表为空","触发2种权限记录->打开权限中心->按类型筛选->重置全部->列表为空；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Privacy","NEXT-V5-013","Interaction","清理浏览数据对话框（时间范围+类型）","P0","M16","todo","当前缺少统一清理入口","在 Settings->Privacy 增加 ClearDataDialog：选择时间范围（1h/24h/7d/all）与类型（历史/cookies/cache/downloads/permissions）；确认后触发清理并 toast","ui/qml/components/SettingsDialog.qml; ui/qml/components/ClearDataDialog.qml (new); ui/qml/BrowserWindow.qml","","可从设置打开清理对话框并执行清理流程","访问3个站点->打开清理对话框->选择清理历史(all)->确认->HistoryPanel 为空；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Settings","NEXT-V5-026","Interaction","书签导入导出入口：Settings/Bookmarks","P2","M17","todo","无 UI 入口","在 SettingsDialog 增加 Bookmarks 区块：Import/Export 按钮；使用 FileDialog 选择路径；展示错误 toast","ui/qml/components/SettingsDialog.qml; ui/qml/components/BookmarksPanel.qml; ui/qml/BrowserWindow.qml","NEXT-V5-025","可从设置导入导出并在 UI 中看到变化","打开 Settings->Bookmarks->Export->生成文件；删除一个书签->Import->书签恢复；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Sidebar/CustomizableUI","NEXT-V5-052","Interaction","侧栏顶部按钮可自定义：显示/隐藏/排序","P3","M20","todo","顶部按钮固定且不可配置","定义 SidebarButtonsStore（JSON）；支持显示/隐藏与排序；BrowserWindow 按配置渲染；Settings 提供拖拽排序 UI","src/core/SidebarButtonsStore.* (new); ui/qml/BrowserWindow.qml; ui/qml/components/SettingsDialog.qml; tests/TestAppSettings.cpp","","用户可隐藏一个按钮并拖拽排序且重启保持","Settings->Sidebar->隐藏 Downloads 按钮->侧栏顶部消失->拖拽排序->重启保持；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","SiteDataPanel","NEXT-V5-017","Interaction","Site Data 面板：cookies 列表+一键清理当前站点","P1","M16","todo","当前无站点数据面板或信息不足","新增 SiteDataPanel：展示 cookie 列表与删除按钮；一键清理当前站点 cookies；与 PopupManager/OverlayHost 正确 layering","ui/qml/components/SiteDataPanel.qml (new); ui/qml/BrowserWindow.qml; ui/qml/components/PopupManager.qml; src/engine/webview2/WebView2CookieModel.* (new)","NEXT-V5-016","从地址栏站点图标可打开 Site Data 面板并完成清理","打开站点->点击站点信息->进入 Site Data->清理 cookies->刷新->登录态消失或 cookie 为空；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","SiteInfo","NEXT-V5-018","Interaction","站点信息面板：安全状态+快捷入口（权限/站点数据）","P1","M16","todo","当前站点信息入口不完整或信息不足","增加 SiteInfoPanel：展示 scheme/host/安全提示；提供按钮打开 PermissionsPanel 与 SiteDataPanel；确保弹层不遮挡","ui/qml/components/SiteInfoPanel.qml (new); ui/qml/BrowserWindow.qml; ui/qml/components/PopupManager.qml","NEXT-V5-017","点击地址栏左侧图标可打开面板并跳转到权限/站点数据","打开 https 站点->点击锁图标->显示 host 与安全提示->点击 Permissions/Site Data 按钮->对应面板打开；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","SplitView","NEXT-V5-069","Interaction","链接右键：Open Link in Split View（新 pane）","P1","M22","todo","WebView2 context menu 缺少 split 入口","WebView2View contextMenuRequested 提取 linkUrl；ContextMenu 增加 Open Link in Split；调用 SplitViewController 打开到空 pane 或新增 pane","src/engine/webview2/WebView2View.*; ui/qml/components/ContextMenu.qml; ui/qml/BrowserWindow.qml; src/core/SplitViewController.*","","右键链接选择 Open in Split 后分屏出现并打开该链接","打开网页->右键一个链接->Open in Split->分屏并打开；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","SplitView","NEXT-V5-070","Interaction","分屏操作：Swap panes 与键盘快捷键","P2","M22","todo","SplitView 缺少 swap/快捷键","SplitViewController 增加 swapPanes；命令 split-swap（例如 Ctrl+Shift+S）；UI 增加按钮入口；持久化顺序","src/core/SplitViewController.*; ui/qml/BrowserWindow.qml; src/core/ShortcutStore.*; tests/TestSplitViewController.cpp","","Ctrl+Shift+S 可交换两个 pane 的网页并保持焦点","开启 2-pane 分屏->两侧打开不同网址->按 Ctrl+Shift+S->两侧互换；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","SplitView","NEXT-V5-071","Interaction","分屏关闭与聚焦：Close pane/Focus next pane","P2","M22","todo","分屏 pane 关闭与焦点切换路径长","命令 split-close-pane / split-focus-next；支持关闭当前 pane 但保留至少1 pane；更新 UI 状态与 session","src/core/SplitViewController.*; ui/qml/BrowserWindow.qml; src/core/ShortcutStore.*; src/core/SessionStore.*","","可用快捷键关闭当前 pane 且焦点移动到剩余 pane","开启3-pane->关闭当前 pane->paneCount 减1 且焦点切换；重启后保持；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
